date,BTC,ETH,SOL,BNB,XRP,ADA,AVAX,DOT,LINK,MATIC,UNI,ATOM,LTC,BCH,ETC,DOGE,XLM,ALGO,VET,FIL,AAVE,CRV,NEAR,TRX,EOS
2018-01-01,13380.0,754.99,,8.45,,,,,,,,,222.61,,,,,,,,,,,,
2018-01-02,14675.11,855.28,,8.715,,,,,,,,,247.33,,,,,,,,,,,,
2018-01-03,14919.51,934.03,,9.304,,,,,,,,,238.77,,,,,,,,,,,,
2018-01-04,15059.54,940.0,,9.143,,,,,,,,,233.0,,,,,,,,,,,,
2018-01-05,16960.39,959.3,,14.8908,,,,,,,,,240.54,,,,,,,,,,,,
2018-01-06,17069.79,1004.11,,22.6,,,,,,,,,275.28,,,,,,,,,,,,
2018-01-07,16150.03,1123.09,,18.594,,,,,,,,,269.01,,,,,,,,,,,,
2018-01-08,14902.54,1133.18,,17.9971,,,,,,,,,252.65,,,,,,,,,,,,
2018-01-09,14400.0,1291.0,,17.399,,,,,,,,,244.48,,,,,,,,,,,,
2018-01-10,14907.09,1247.0,,17.5,,,,,,,,,247.63,,,,,,,,,,,,
2018-01-11,13238.78,1138.93,,21.2024,,,,,,,,,223.77,,,,,,,,,,,,
2018-01-12,13740.01,1253.87,,22.1999,,,,,,,,,233.11,,,,,,,,,,,,
2018-01-13,14210.0,1388.02,,22.0246,,,,,,,,,257.98,,,,,,,,,,,,
2018-01-14,13474.99,1347.0,,20.4541,,,,,,,,,234.12,,,,,,,,,,,,
2018-01-15,13539.93,1271.0,,19.3396,,,,,,,,,229.5,,,,,,,,,,,,
2018-01-16,10900.0,1000.0,,13.1996,,,,,,,,,179.28,,,,,,,,,,,,
2018-01-17,10988.79,1000.0,,14.1998,,,,,,,,,182.44,,,,,,,,,,,,
2018-01-18,10961.97,994.0,,14.1397,,,,,,,,,186.14,,,,,,,,,,,,
2018-01-19,11474.98,1032.5,,14.9447,,,,,,,,,191.42,,,,,,,,,,,,
2018-01-20,12799.94,1152.75,,16.1712,,,,,,,,,210.4,,,,,,,,,,,,
2018-01-21,11530.0,1049.0,,14.1334,,,,,,,,,190.16,,,,,,,,,,,,
2018-01-22,10760.05,993.0,,12.91,,,,,,,,,178.0,,,,,,,,,,,,
2018-01-23,10799.18,980.0,,13.1022,,,,,,,,,176.98,,,,,,,,,,,,
2018-01-24,11349.99,1061.0,,13.8,,,,,,,,,180.89,,,,,,,,,,,,
2018-01-25,11175.27,1056.52,,13.1905,,,,,,,,,179.59,,,,,,,,,,,,
2018-01-26,11089.0,1051.03,,13.1344,,,,,,,,,177.09,,,,,,,,,,,,
2018-01-27,11491.0,1118.99,,13.3994,,,,,,,,,182.1,,,,,,,,,,,,
2018-01-28,11879.95,1251.96,,13.7739,,,,,,,,,196.74,,,,,,,,,,,,
2018-01-29,11251.0,1177.01,,12.815,,,,,,,,,181.5,,,,,,,,,,,,
2018-01-30,10237.51,1085.5,,11.4749,,,,,,,,,168.21,,,,,,,,,,,,
2018-01-31,10285.1,1124.81,,11.3131,,,,,,,,,165.19,,,,,,,,,,,,
2018-02-01,9224.52,1041.94,,9.5138,,,,,,,,,143.69,,,,,,,,,,,,
2018-02-02,8873.03,922.3,,9.7484,,,,,,,,,131.68,,,,,,,,,,,,
2018-02-03,9199.96,971.0,,9.7252,,,,,,,,,160.3,,,,,,,,,,,,
2018-02-04,8184.81,823.56,,8.3511,,,,,,,,,147.09,,,,,,,,,,,,
2018-02-05,6939.99,697.92,,6.7315,,,,,,,,,125.17,,,,,,,,,,,,
2018-02-06,7652.14,779.25,,8.263,,,,,,,,,141.0,,,,,,,,,,,,
2018-02-07,7599.0,754.0,,8.0647,,,,,,,,,137.21,,,,,,,,,,,,
2018-02-08,7784.02,781.66,,8.2791,,,,,,,,,142.37,,,,,,,,,,,,
2018-02-09,8683.92,877.0,,9.86,,,,,,,,,163.73,,,,,,,,,,,,
2018-02-10,8533.98,851.15,,9.2448,,,,,,,,,154.65,,,,,,,,,,,,
2018-02-11,8063.88,808.99,,8.674,,,,,,,,,148.28,,,,,,,,,,,,
2018-02-12,8903.0,866.66,,9.3389,,,,,,,,,161.49,,,,,,,,,,,,
2018-02-13,8539.9,841.57,,9.016,,,,,,,,,159.63,,,,,,,,,,,,
2018-02-14,9449.99,919.09,,10.4096,,,,,,,,,212.25,,,,,,,,,,,,
2018-02-15,10000.09,924.55,,10.8661,,,,,,,,,220.64,,,,,,,,,,,,
2018-02-16,10159.98,938.67,,11.25,,,,,,,,,228.08,,,,,,,,,,,,
2018-02-17,11039.55,969.99,,11.66,,,,,,,,,228.0,,,,,,,,,,,,
2018-02-18,10383.43,911.0,,10.6631,,,,,,,,,213.66,,,,,,,,,,,,
2018-02-19,11153.0,938.11,,11.0601,,,,,,,,,221.44,,,,,,,,,,,,
2018-02-20,11200.99,882.99,,9.8888,,,,,,,,,228.51,,,,,,,,,,,,
2018-02-21,10437.6,835.89,,9.3799,,,,,,,,,209.6,,,,,,,,,,,,
2018-02-22,9811.04,801.49,,8.86,,,,,,,,,192.61,,,,,,,,,,,,
2018-02-23,10131.04,851.6,,9.693,,,,,,,,,206.4,,,,,,,,,,,,
2018-02-24,9694.51,833.94,,9.0873,,,,,,,,,206.5,,,,,,,,,,,,
2018-02-25,9590.0,841.19,,9.35,,,,,,,,,217.78,,,,,,,,,,,,
2018-02-26,10324.0,867.98,,9.9199,,,,,,,,,218.5,,,,,,,,,,,,
2018-02-27,10569.04,870.11,,10.56,,,,,,,,,214.6,,,,,,,,,,,,
2018-02-28,10326.76,853.5,,10.4536,,,,,,,,,201.86,,,,,,,,,,,,
2018-03-01,10920.0,870.63,,10.4768,,,,,,,,,209.17,,,,,,,,,,,,
2018-03-02,11039.0,856.28,,10.2348,,,,,,,,,212.8,,,,,,,,,,,,
2018-03-03,11464.48,856.02,,10.2399,,,,,,,,,210.04,,,,,,,,,,,,
2018-03-04,11515.0,866.66,,10.4139,,,,,,,,,213.19,,,,,,,,,,,,
2018-03-05,11454.0,849.84,,10.0847,,,,,,,,,210.14,,,,,,,,,,,,
2018-03-06,10716.48,813.11,,9.3899,,,,,,,,,196.24,,,,,,,,,,,,
2018-03-07,9910.0,749.9,,9.0405,,,,,,,,,185.25,,,,,,,,,,,,
2018-03-08,9271.64,695.46,,8.2703,,,,,,,,,175.24,,,,,,,,,,,,
2018-03-09,9227.0,723.71,,8.2807,,,,,,,,,185.79,,,,,,,,,,,,
2018-03-10,8770.22,680.58,,7.65,,,,,,,,,176.74,,,,,,,,,,,,
2018-03-11,9533.57,720.85,,8.268,,,,,,,,,188.16,,,,,,,,,,,,
2018-03-12,9131.34,697.11,,8.034,,,,,,,,,177.8,,,,,,,,,,,,
2018-03-13,9150.0,689.94,,10.2188,,,,,,,,,175.01,,,,,,,,,,,,
2018-03-14,8170.0,610.1,,8.9243,,,,,,,,,160.15,,,,,,,,,,,,
2018-03-15,8240.98,608.83,,9.1047,,,,,,,,,164.0,,,,,,,,,,,,
2018-03-16,8260.0,599.05,,9.0645,,,,,,,,,164.1,,,,,,,,,,,,
2018-03-17,7824.8,546.95,,8.9231,,,,,,,,,151.75,,,,,,,,,,,,
2018-03-18,8189.99,537.0,,8.9648,,,,,,,,,153.5,,,,,,,,,,,,
2018-03-19,8600.0,556.88,,9.035,,,,,,,,,161.2,,,,,,,,,,,,
2018-03-20,8909.98,557.0,,9.1618,,,,,,,,,168.24,,,,,,,,,,,,
2018-03-21,8885.0,559.17,,9.9777,,,,,,,,,168.54,,,,,,,,,,,,
2018-03-22,8722.9,539.92,,10.0806,,,,,,,,,163.65,,,,,,,,,,,,
2018-03-23,8898.03,543.03,,11.7397,,,,,,,,,168.66,,,,,,,,,,,,
2018-03-24,8546.86,520.22,,13.2398,,,,,,,,,158.92,,,,,,,,,,,,
2018-03-25,8470.15,523.74,,12.95,,,,,,,,,160.01,,,,,,,,,,,,
2018-03-26,8134.23,485.0,,12.05,,,,,,,,,147.83,,,,,,,,,,,,
2018-03-27,7795.51,448.5,,11.5404,,,,,,,,,135.0,,,,,,,,,,,,
2018-03-28,7949.3,446.67,,11.6888,,,,,,,,,131.22,,,,,,,,,,,,
2018-03-29,7090.14,384.0,,10.1877,,,,,,,,,114.7,,,,,,,,,,,,
2018-03-30,6840.23,392.43,,10.3955,,,,,,,,,118.35,,,,,,,,,,,,
2018-03-31,6923.91,393.92,,11.051,,,,,,,,,116.05,,,,,,,,,,,,
2018-04-01,6813.01,378.58,,11.0767,,,,,,,,,114.74,,,,,,,,,,,,
2018-04-02,7056.0,385.05,,12.5996,,,,,,,,,119.05,,,,,,,,,,,,
2018-04-03,7405.21,415.01,,13.305,,,,,,,,,134.04,,,,,,,,,,,,
2018-04-04,6796.1,378.16,,12.21,,,,,,,,,118.07,,,,,,,,,,,,
2018-04-05,6770.76,381.22,,12.4888,,,,,,,,,118.26,,,,,,,,,,,,
2018-04-06,6601.39,368.89,,12.2599,,,,,,,,,112.79,,,,,,,,,,,,
2018-04-07,6895.8,384.51,,12.5,,,,,,,,,115.8,,,,,,,,,,,,
2018-04-08,7018.0,400.4,,12.1311,,,,,,,,,117.55,,,,,,,,,,,,
